date,v2ProductCategory,count
2016-11-15,Bottles,48
2016-11-15,Drinkware,355
2016-11-15,Electronics,307
2016-11-15,Headgear,91
2016-11-15,Accessories/,4189
2016-11-15,Accessories/Fun/,4892
2016-11-15,Accessories/Housewares/,1122
2016-11-15,Accessories/Pet/,522
2016-11-15,Accessories/Sports & Fitness/,377
2016-11-15,Accessories/Stickers/,1478
2016-11-15,Apparel/,6333
2016-11-15,Apparel/Headgear/,2217
2016-11-15,Apparel/Kid's/,252
2016-11-15,Apparel/Kid's/Kid's-Infant/,1116
2016-11-15,Apparel/Kid's/Kid's-Toddler/,878
2016-11-15,Apparel/Kid's/Kids-Youth/,1332
2016-11-15,Apparel/Men's/,2182
2016-11-15,Apparel/Men's/Men's-Outerwear/,5126
2016-11-15,Apparel/Men's/Men's-Performance Wear/,1413
2016-11-15,Apparel/Men's/Men's-T-Shirts/,10194
2016-11-15,Apparel/Women's/,1554
2016-11-15,Apparel/Women's/Women's-Outerwear/,2225
2016-11-15,Apparel/Women's/Women's-Performance Wear/,852
2016-11-15,Apparel/Women's/Women's-T-Shirts/,3763
2016-11-15,Bags/,3795
2016-11-15,Bags/Backpacks/,2901
2016-11-15,Bags/More Bags/,2010
2016-11-15,Bags/Shopping and Totes/,981
2016-11-15,Drinkware/,4913
2016-11-15,Drinkware/Mugs and Cups/,1076
2016-11-15,Drinkware/Water Bottles and Tumblers/,3479
2016-11-15,Electronics/,3895
2016-11-15,Electronics/Audio/,2515
2016-11-15,Electronics/Electronics Accessories/,1735
2016-11-15,Electronics/Flashlights/,400
2016-11-15,Electronics/Power/,822
2016-11-15,Gift Cards/,117
2016-11-15,Office/,4859
2016-11-15,Office/Notebooks & Journals/,3002
2016-11-15,Office/Office Other/,408
2016-11-15,Office/Writing Instruments/,2412
2016-11-15,Shop by Brand/,904
2016-11-15,Shop by Brand/Android/,2495
2016-11-15,Shop by Brand/Google/,3682
2016-11-15,Shop by Brand/YouTube/,13068
2016-11-15,Housewares,34
2016-11-15,Lifestyle,311
2016-11-15,Lifestyle/,12
2016-11-15,More Bags,15
2016-11-15,Office,729
2016-11-15,Waze,33
2016-11-16,Accessories,45
2016-11-16,Apparel,1173
2016-11-16,Backpacks,9
2016-11-16,Bags,124
2016-11-16,Bottles,47
2016-11-16,Drinkware,271
2016-11-16,Electronics,190
2016-11-16,Gift Cards,3
2016-11-16,Headgear,41
2016-11-16,Accessories/,3207
2016-11-16,Accessories/Fun/,4447
2016-11-16,Accessories/Housewares/,1354
2016-11-16,Accessories/Pet/,436
2016-11-16,Accessories/Sports & Fitness/,411
2016-11-16,Accessories/Stickers/,1180
2016-11-16,Apparel/,6273
2016-11-16,Apparel/Headgear/,2096
2016-11-16,Apparel/Kid's/,394
2016-11-16,Apparel/Kid's/Kid's-Infant/,595
2016-11-16,Apparel/Kid's/Kid's-Toddler/,962
2016-11-16,Apparel/Kid's/Kids-Youth/,980
2016-11-16,Apparel/Men's/,2364
2016-11-16,Apparel/Men's/Men's-Outerwear/,3818
